Aralık,Pozitif Yorum,Pozitif Yorum Sayısı,Negatif Yorum,Negatif Yorum Sayısı,Üniversiteler,Pozitif Yüzde,Negatif Yüzde
5316-5363,Pozitif yorum sayısı,37,Negatif yorum sayısı,10,Artvin Çoruh Üniversitesi,78.72340425531915,21.27659574468085
5364-5394,Pozitif yorum sayısı,26,Negatif yorum sayısı,4,Aydın Adnan Menderes Üniversitesi,86.66666666666667,13.333333333333334
5499-5561,Pozitif yorum sayısı,51,Negatif yorum sayısı,11,Abant İzzet Baysal Üniversitesi,82.25806451612904,17.741935483870968
5598-5771,Pozitif yorum sayısı,149,Negatif yorum sayısı,24,Uludağ Üniversitesi,86.1271676300578,13.872832369942197
5786-5854,Pozitif yorum sayısı,60,Negatif yorum sayısı,8,Çanakkale 18 Mart Üniversitesi,88.23529411764706,11.76470588235294
5888-6004,Pozitif yorum sayısı,98,Negatif yorum sayısı,18,Pamukkale Üniversitesi,84.48275862068965,15.517241379310343
6005-6035,Pozitif yorum sayısı,26,Negatif yorum sayısı,4,Dicle Üniversitesi,86.66666666666667,13.333333333333334
6036-6076,Pozitif yorum sayısı,35,Negatif yorum sayısı,5,Düzce Üniversitesi,87.5,12.5
6077-6152,Pozitif yorum sayısı,60,Negatif yorum sayısı,15,Trakya Üniversitesi,80.0,20.0
6153-6213,Pozitif yorum sayısı,52,Negatif yorum sayısı,8,Fırat Üniversitesi,86.66666666666667,13.333333333333334
6214-6252,Pozitif yorum sayısı,26,Negatif yorum sayısı,12,Erzincan Binali Yıldırım Üniversitesi,68.42105263157895,31.57894736842105
6253-6314,Pozitif yorum sayısı,50,Negatif yorum sayısı,11,Atatürk Üniversitesi,81.9672131147541,18.0327868852459
